model,timeframe,dtype,coef,ci_lower,ci_upper,se
cess_1981_lower,1981-2024,model_forcing,0.37370882128613614,0.3625055334563839,0.38491210911588836,0.005715963178445009
cess_1981_median,1981-2024,model_time,0.02667450899830877,0.02542819481198814,0.027920823184629396,0.000635874584857463
cess_1981_median,1981-2024,model_forcing,0.41055622494282284,0.36613210026913307,0.4549803496165126,0.02266536973147438
cess_1981_upper,1981-2024,model_time,0.029088096900845774,0.02775352878917186,0.030422665012519688,0.0006809020977928135
cess_1981_upper,1981-2024,model_forcing,0.44740362859950955,0.3974904267537241,0.497316830445295,0.025465919309074214
hansen_1981,1980-2024,model_time,0.013569169960474303,0.01105069385385523,0.016087646067093377,0.001284936789091364
hansen_1981,1980-2024,model_forcing,0.43540732929079895,0.42565135139082455,0.44516330719077335,0.004977539744884898
schneider_1981,1981-2024,model_time,0.023644115574348215,0.021745446003641096,0.025542785145055334,0.0009687089646464894
schneider_1981,1981-2024,model_forcing,0.5869012364449628,0.5837547274405681,0.5900477454493576,0.0016053617369360849
gilliland_1982,1925-2024,model_time,0.011416666666666655,0.01141666666666662,0.01141666666666669,1.770125995894701e-17
gilliland_1982,1925-2024,model_forcing,0.3694377955173602,0.36943108623387255,0.3694445048008479,3.4231038202405173e-06
seidel_1983,1983-2024,model_time,0.031309184768900065,0.03112272992131361,0.03149563961648652,9.513002427880356e-05
